,Name, StationType, MeanAvgTemperature,yyyy-mm-dd
97,MOUNT DIABLO JUNCTION, COOP,50.0,2014-02-01
98,STOCKTON METROPOLITAN AP, WBAN,52.8,2014-02-01
99,VICTORVILLE, COOP,54.5,2014-02-01
100,GIBRALTAR DAM NO. 2, COOP,53.9,2014-02-01
101,AMBOY, COOP,61.6,2014-02-01
102,PALMDALE, COOP,55.2,2014-02-01
103,SAUGUS POWER PLANT 1, COOP,54.1,2014-02-01
104,CACHUMA LAKE, COOP,53.4,2014-02-01
105,SALSIPUEDES GAGING STATION, COOP,54.5,2014-02-01
106,PALMDALE AP, WBAN,53.8,2014-02-01
107,LOMPOC, COOP,55.8,2014-02-01
108,LANCASTER, WBAN,52.9,2014-02-01
109,SANDBERG, WBAN,51.5,2014-02-01
110,LEBEC, WBAN,45.1,2014-02-01
111,NEW CUYAMA FIRE STATION, COOP,49.5,2014-02-01
112,TWITCHELL DAM, COOP,53.2,2014-02-01
113,AUBERRY 2 NW, COOP,51.2,2014-02-01
114,LOS BANOS, COOP,53.7,2014-02-01
115,BEN LOMOND NO. 4, COOP,53.2,2014-02-01
116,MORGAN HILL, COOP,,2014-02-01
117,NORTH FORK RS, COOP,45.8,2014-02-01
118,LOS GATOS, COOP,52.4,2014-02-01
119,NEWMAN, COOP,56.4,2014-02-01
120,MOUNT HAMILTON, WBAN,45.9,2014-02-01
121,BISHOP AP, WBAN,46.1,2014-02-01
122,MOFFETT FEDERAL AIRFIELD, WBAN,55.4,2014-02-01
123,WOODSIDE FIRE STATION 1, COOP,53.8,2014-02-01
124,TURLOCK #2, COOP,53.5,2014-02-01
125,PALO ALTO, COOP,52.3,2014-02-01
126,REDWOOD CITY, COOP,53.4,2014-02-01
127,HALF MOON BAY, COOP,51.4,2014-02-01
128,RICHMOND, COOP,54.3,2014-02-01
129,MUIR WOODS, COOP,52.6,2014-02-01
130,HETCH HETCHY, COOP,45.2,2014-02-01
131,CHERRY VALLEY DAM, COOP,43.4,2014-02-01
132,SONORA, COOP,48.4,2014-02-01
133,STOCKTON FIRE STA 4, COOP,55.3,2014-02-01
134,ANTIOCH PUMPING PLANT #3, COOP,54.7,2014-02-01
135,CONCORD BUCHANAN FIELD, WBAN,53.5,2014-02-01
136,CONCORD WASTEWATER PLANT, COOP,55.5,2014-02-01
137,SAN RAFAEL-CIVIC CENTER, COOP,55.8,2014-02-01
138,KENTFIELD, COOP,53.3,2014-02-01
139,MARTINEZ WATER PLANT, COOP,52.0,2014-02-01
140,BODIE CALIFORNIA STATE HISTORIC PARK, COOP,28.6,2014-02-01
141,NAPA COUNTY AIRPORT, WBAN,51.4,2014-02-01
142,BRIDGEPORT, COOP,33.0,2014-02-01
143,CALAVERAS BIG TREES, COOP,40.2,2014-02-01
144,TRAVIS FIELD AFB, WBAN,53.8,2014-02-01
145,FAIRFIELD, COOP,54.3,2014-02-01
146,SUSANVILLE 2SW, WBAN,40.5,2014-02-01
147,TEJON RANCHO, WBAN,55.4,2014-02-01
148,BURBANK GLENDALE PASADENA AP, WBAN,61.6,2014-02-01
149,MOUNT SHASTA, COOP,41.6,2014-02-01
150,WATSONVILLE MUNICIPAL AP, WBAN,53.4,2014-02-01
151,SANTA ROSA SONOMA CO AP, WBAN,51.8,2014-02-01
152,TWENTYNINE PALMS 12E - WONDER VALLEY, COOP,59.7,2014-02-01
153,MORONGO VALLEY NORTH, COOP,56.8,2014-02-01
154,SHAFTER 6E, COOP,54.1,2014-02-01
155,TRUCKEE-TAHOE AIRPORT DISTRICT, COOP,33.0,2014-02-01
156,PACIFIC HOUSE, COOP,42.1,2014-02-01
157,CLOVERDALE, COOP,53.7,2014-02-01
158,SOUTH LAKE TAHOE AP, WBAN,37.1,2014-02-01
159,GEORGETOWN RS, COOP,45.7,2014-02-01
160,AUBURN, COOP,52.0,2014-02-01
161,CLEARLAKE 4 SE, COOP,47.9,2014-02-01
162,MARYSVILLE YUBA COUNTY AP, WBAN,52.9,2014-02-01
163,UKIAH MUNICIPAL AP, WBAN,51.1,2014-02-01
164,PARADISE, COOP,50.9,2014-02-01
165,VINTON, COOP,43.3,2014-02-01
166,PORTOLA, COOP,38.0,2014-02-01
167,DE SABLA, COOP,46.8,2014-02-01
168,DOYLE 4 SSE, COOP,41.8,2014-02-01
169,CANYON DAM, COOP,38.4,2014-02-01
170,CHESTER, COOP,37.6,2014-02-01
171,MINERAL, COOP,39.4,2014-02-01
172,DAGGETT AP, WBAN,58.7,2014-02-01
173,MERCED, COOP,53.3,2014-02-01
174,SAN DIEGO MONTGOMERY FIELD, WBAN,59.0,2014-02-01
175,SAN DIEGO INTERNATIONAL AP, WBAN,61.2,2014-02-01
176,SAN DIEGO MIRAMAR NAS, WBAN,58.4,2014-02-01
177,NORTH ISLAND NAS, WBAN,64.5,2014-02-01
178,SAN FRANCISCO INTERNATIONAL AP, WBAN,54.9,2014-02-01
179,SAN LUIS OBISPO MCCHESNEY FIELD, WBAN,58.6,2014-02-01
180,CEDARVILLE, COOP,38.8,2014-02-01
181,CHICO UNIVERSITY FARM, COOP,50.8,2014-02-01
182,CHULA VISTA, COOP,59.8,2014-02-01
183,COLFAX, COOP,49.8,2014-02-01
184,CUYAMACA, COOP,49.8,2014-02-01
185,DAVIS 2 WSW EXP FARM, COOP,53.3,2014-02-01
186,DEATH VALLEY, COOP,63.1,2014-02-01
187,FAIRMONT, COOP,54.6,2014-02-01
188,FORT BRAGG 5 N, COOP,48.4,2014-02-01
189,HANFORD 1 S, COOP,54.1,2014-02-01
190,HAPPY CAMP RANGER STATION, COOP,43.7,2014-02-01
191,INDIO FIRE STATION, COOP,66.0,2014-02-01
192,LEMON COVE, COOP,55.6,2014-02-01
193,LIVERMORE, COOP,53.2,2014-02-01
194,LODI, COOP,53.9,2014-02-01
195,MERCED MUNICIPAL AP, WBAN,52.6,2014-02-01
196,NAPA STATE HOSPITAL, COOP,54.2,2014-02-01
197,OJAI, COOP,55.6,2014-02-01
198,ORLAND, COOP,52.5,2014-02-01
199,ORLEANS, COOP,48.4,2014-02-01
200,PASADENA, COOP,62.0,2014-02-01
201,PASO ROBLES, COOP,52.9,2014-02-01
202,PETALUMA AIRPORT, COOP,52.6,2014-02-01
203,QUINCY, COOP,40.4,2014-02-01
204,REDLANDS, COOP,58.3,2014-02-01
205,SANTA BARBARA, COOP,56.9,2014-02-01
206,SANTA CRUZ, COOP,54.5,2014-02-01
207,TAHOE CITY, COOP,35.0,2014-02-01
208,WASCO, COOP,56.2,2014-02-01
209,WEAVERVILLE, COOP,44.8,2014-02-01
210,WILLOWS 6 W, COOP,53.4,2014-02-01
211,YOSEMITE PARK HEADQUARTERS, COOP,44.7,2014-02-01
212,YREKA, COOP,41.8,2014-02-01
213,BERKELEY, COOP,53.9,2014-02-01
214,BLYTHE, COOP,63.3,2014-02-01
215,EUREKA WFO WOODLEY ISLAND, WBAN,49.8,2014-02-01
216,INDEPENDENCE, WBAN,50.8,2014-02-01
217,SAN LUIS OBISPO POLY, WBAN,58.4,2014-02-01
218,BURNEY, WBAN,39.7,2014-02-01
219,IMPERIAL BEACH REAM FIELD NAS, WBAN,56.7,2014-02-01
220,CAMPO, COOP,52.3,2014-02-01
221,EL CENTRO 2 SSW, COOP,64.0,2014-02-01
222,IMPERIAL COUNTY AP, WBAN,63.3,2014-02-01
223,EL CENTRO NAF, WBAN,63.2,2014-02-01
224,ALPINE, COOP,56.8,2014-02-01
225,SCOTIA, COOP,51.8,2014-02-01
226,MANZANITA LAKE, COOP,33.1,2014-02-01
227,WHISKEYTOWN RESERVOIR, COOP,49.0,2014-02-01
228,SHASTA DAM, COOP,49.8,2014-02-01
229,TRINITY RIVER HATCHERY, COOP,45.7,2014-02-01
230,BIG BAR 4 E, COOP,46.3,2014-02-01
231,HAT CREEK, COOP,40.1,2014-02-01
232,WILLOW CREEK 1 NW, COOP,48.9,2014-02-01
233,SONOMA, COOP,51.9,2014-02-01
234,SUTTER HILL CDF, COOP,51.0,2014-02-01
235,GRATON, COOP,51.3,2014-02-01
236,OCCIDENTAL, COOP,50.7,2014-02-01
237,SACRAMENTO EXECUTIVE AP, WBAN,53.8,2014-02-01
238,WINTERS, WBAN,54.4,2014-02-01
239,LAKE SOLANO, COOP,53.3,2014-02-01
240,SAINT HELENA, COOP,53.2,2014-02-01
241,FORT ROSS, COOP,50.1,2014-02-01
242,SACRAMENTO 5ESE, WBAN,54.9,2014-02-01
243,ANGWIN PACIFIC UNION COLLEGE, COOP,48.9,2014-02-01
244,CALISTOGA, COOP,51.8,2014-02-01
245,WOODLAND 1 WNW, COOP,55.0,2014-02-01
246,SACRAMENTO METROPOLITAN AP, WBAN,53.0,2014-02-01
247,GRASS VALLEY NO. 2, COOP,46.3,2014-02-01
248,COLUSA 2 SSW, COOP,52.3,2014-02-01
249,BLUE CANYON AP, WBAN,41.2,2014-02-01
250,NEVADA CITY, COOP,45.7,2014-02-01
251,TRUCKEE AIRPORT, WBAN,33.0,2014-02-01
252,DONNER MEMORIAL ST PARK, COOP,35.0,2014-02-01
253,BOCA, COOP,34.9,2014-02-01
254,POTTER VALLEY POWERHOUSE, COOP,49.5,2014-02-01
255,BOWMAN DAM, COOP,40.7,2014-02-01
256,OROVILLE, COOP,53.1,2014-02-01
257,OROVILLE MUNICIPAL AP, WBAN,53.6,2014-02-01
258,SIERRAVILLE RS, COOP,39.9,2014-02-01
259,DOWNIEVILLE, COOP,43.9,2014-02-01
260,STRAWBERRY VALLEY, COOP,42.1,2014-02-01
261,STONY GORGE RESERVOIR, COOP,49.8,2014-02-01
262,DUNSMUIR TREATMENT PL, COOP,41.6,2014-02-01
263,JESS VALLEY, COOP,34.6,2014-02-01
264,MCCLOUD, COOP,39.8,2014-02-01
265,CALLAHAN, COOP,40.8,2014-02-01
266,SAWYERS BAR RS, COOP,45.0,2014-02-01
267,ALTURAS, COOP,36.3,2014-02-01
268,FORT JONES RS, COOP,38.9,2014-02-01
269,LAVA BEDS NAT MON, COOP,37.4,2014-02-01
270,MOUNT HEBRON RS, COOP,38.0,2014-02-01
271,CRESCENT CITY MCNAMARA AP, WBAN,48.8,2014-02-01
272,FORT BIDWELL, COOP,39.0,2014-02-01
273,TULELAKE, COOP,37.2,2014-02-01
274,COPCO NO 1 DAM, COOP,42.7,2014-02-01
275,BARSTOW, COOP,55.6,2014-02-01
276,PEARBLOSSOM, COOP,55.2,2014-02-01
277,EL CAJON, COOP,60.1,2014-02-01
278,MARKLEY COVE, COOP,51.5,2014-02-01
279,REDONDO BEACH, COOP,58.3,2014-02-01
280,BURBANK VALLEY PUMP PLANT, COOP,59.0,2014-02-01
281,PLACERVILLE 3 ENE, COOP,48.8,2014-02-01
282,TAHOMA, COOP,33.1,2014-02-01
283,CORONA MUNICIPAL AIRPORT, WBAN,56.1,2014-02-01
284,VERDI 2W, COOP,39.1,2014-02-01
285,Crescent City Area, ThreadEx,48.8,2014-02-01
286,Escondido Area, ThreadEx,60.4,2014-02-01
287,Sacramento Downtown Area, ThreadEx,54.9,2014-02-01
288,Tahoe City Area, ThreadEx,35.0,2014-02-01
289,Ukiah Area, ThreadEx,51.1,2014-02-01
290,MCOLF CAMP PENDLETON RED BEACH AIRPORT, WBAN,56.8,2014-02-01
291,CAMPO ASOS, WBAN,51.1,2014-02-01
292,Burbank Glendale Pasadena Area, ThreadEx,61.6,2014-02-01
293,Camarillo Area, ThreadEx,56.4,2014-02-01
294,Needles Area, ThreadEx,63.7,2014-02-01
295,Oxnard Area, ThreadEx,57.0,2014-02-01
296,Palm Springs Area, ThreadEx,65.1,2014-02-01
297,Riverside Area, ThreadEx,60.1,2014-02-01
298,Ramona Area, ThreadEx,54.3,2014-02-01
299,LORAINE 5 NNE, COOP,46.0,2014-02-01
300,LEE VINING, COOP,38.5,2014-02-01
301,ANAHEIM, COOP,61.7,2014-02-01
302,NEW MELONES DAM HQ, COOP,52.2,2014-02-01
303,MAMMOTH LAKES R.S., COOP,34.6,2014-02-01
304,MONTEREY WFO, COOP,52.6,2014-02-01
305,SKYLINE RIDGE PRESERVE, COOP,50.1,2014-02-01
306,FREMONT, COOP,54.4,2014-02-01
307,NEWHALL 5NW, COOP,59.3,2014-02-01
308,TEHACHAPI 4 SE, COOP,44.0,2014-02-01
309,NORTHRIDGE CAL STATE, COOP,59.9,2014-02-01
310,OXNARD WFO, COOP,57.0,2014-02-01
311,HANFORD MUNICIPAL AP, WBAN,54.1,2014-02-01
312,RAMONA AIRPORT, WBAN,54.3,2014-02-01
313,VACAVILLE NUT TREE AP, WBAN,52.4,2014-02-01
314,ALTURAS MUNICIPAL AP, WBAN,36.9,2014-02-01
315,MADERA MUNICIPAL AP, WBAN,53.5,2014-02-01
316,BAKERSFIELD 5 NW, COOP,55.6,2014-02-01
317,FRESNO 5 NE, COOP,54.8,2014-02-01
318,OCEANSIDE MUNICIPAL AP, WBAN,56.0,2014-02-01
319,ARCATA EUREKA AP, WBAN,49.4,2014-02-01
320,NEWPORT BEACH HARBOR, WBAN,58.1,2014-02-01
321,ESCONDIDO NO. 2, COOP,60.4,2014-02-01
322,REDDING MUNICIPAL AP, WBAN,51.0,2014-02-01
323,AVALON CATALINA AP, WBAN,57.5,2014-02-01
324,SANTA MARIA PUBLIC AP, WBAN,57.5,2014-02-01
325,MOUNT SHASTA, WBAN,40.7,2014-02-01
326,RED BLUFF MUNICIPAL AP, WBAN,52.6,2014-02-01
327,NEEDLES AP, WBAN,63.7,2014-02-01
328,CHINA LAKE NAF, WBAN,53.3,2014-02-01
329,HEARST CASTLE, COOP,55.3,2014-02-01
330,GETTY CENTER, COOP,59.7,2014-02-01
331,HESPERIA 2E, COOP,54.8,2014-02-01
332,RANCHO BERNARDO, COOP,59.2,2014-02-01
333,OCOTILLO WELLS 2W, COOP,66.7,2014-02-01
334,IRVINE RANCH, COOP,62.1,2014-02-01
335,MT. LAGUNA #3, COOP,47.8,2014-02-01
336,AVALON INLAND, COOP,52.8,2014-02-01
337,DESERT CENTER 2 NNE, COOP,55.5,2014-02-01
338,TORRANCE AP, WBAN,59.1,2014-02-01
339,MERCED 23 WSW, WBAN,52.3,2014-02-01
340,REDDING 12 WNW, WBAN,48.3,2014-02-01
341,STOVEPIPE WELLS 1 SW, WBAN,61.3,2014-02-01
342,LOS ANGELES DOWNTOWN/USC, WBAN,61.2,2014-02-01
343,FRESNO YOSEMITE INT'L, WBAN,56.8,2014-02-01
344,MONTEREY PENINSUL AP, WBAN,53.9,2014-02-01
345,PASO ROBLES MUNICIPAL AP, WBAN,54.1,2014-02-01
346,MONTAGUE SISKIYOU AIRPORT, WBAN,41.8,2014-02-01
347,SAN JOSE, WBAN,54.3,2014-02-01
348,PALM SPRINGS ASOS, WBAN,65.1,2014-02-01
349,SAN DIEGO BROWN FIELD, WBAN,58.6,2014-02-01
350,Bakersfield Area, ThreadEx,56.9,2014-02-01
351,Bishop Area, ThreadEx,46.1,2014-02-01
352,Los Angeles Downtown Area, ThreadEx,61.2,2014-02-01
353,Eureka Area, ThreadEx,49.8,2014-02-01
354,Fresno Area, ThreadEx,56.8,2014-02-01
355,Los Angeles Airport Area, ThreadEx,59.7,2014-02-01
356,Long Beach Area, ThreadEx,59.8,2014-02-01
357,Redding Area, ThreadEx,51.0,2014-02-01
358,Sacramento Area, ThreadEx,53.8,2014-02-01
359,San Diego Area, ThreadEx,61.2,2014-02-01
360,Stockton Area, ThreadEx,52.8,2014-02-01
361,San Francisco Airport Area, ThreadEx,54.9,2014-02-01
362,Santa Maria Area, ThreadEx,57.5,2014-02-01
363,CAMP PENDLETON MCAS, WBAN,52.3,2014-02-01
364,LEMOORE REEVES NAS, WBAN,56.5,2014-02-01
365,ARVIN, COOP,55.5,2014-02-01
366,CHIRIACO SUMMIT, COOP,56.0,2014-02-01
367,EDWARDS AFB NORTH AUXILIARY AIRFIELD, WBAN,53.7,2014-02-01
368,FALLBROOK 5 NE, WBAN,60.7,2014-02-01
369,SANTA BARBARA 11 W, WBAN,55.3,2014-02-01
370,BODEGA 6 WSW, WBAN,50.8,2014-02-01
371,YOSEMITE VILLAGE 12 W, WBAN,39.9,2014-02-01
372,YUCCA MESA, COOP,56.6,2014-02-01
373,YUCCA VALLEY, COOP,54.6,2014-02-01
374,JOHNSON VALLEY, COOP,54.2,2014-02-01
375,ARBUCKLE BASIN CALIFORNIA, RAWS,47.9,2014-02-01
376,ACTON CALIFORNIA, RAWS,54.9,2014-02-01
377,ARROYO GRANDE CALIFORNIA, RAWS,56.9,2014-02-01
378,ALDER SPRINGS CALIFORNIA, RAWS,43.5,2014-02-01
379,ALPINE CALIFORNIA, RAWS,57.0,2014-02-01
380,LOS ALTOS CALIFORNIA, RAWS,53.9,2014-02-01
381,ANZA CALIFORNIA, RAWS,49.1,2014-02-01
382,ALDER POINT CALIFORNIA, RAWS,48.9,2014-02-01
383,ARROYO SECO (MT. DIABLO) CALIF, RAWS,54.0,2014-02-01
384,ASH CREEK CALIFORNIA, RAWS,37.5,2014-02-01
385,ASH VALLEY CALIFORNIA, RAWS,29.8,2014-02-01
386,BACKBONE CALIFORNIA, RAWS,40.9,2014-02-01
387,BALD MTN LOC CALIFORNIA, RAWS,44.9,2014-02-01
388,BARNABY CALIFORNIA, RAWS,51.9,2014-02-01
389,BATTERSON CALIFORNIA, RAWS,50.3,2014-02-01
390,BIG BAR CALIFORNIA, RAWS,47.3,2014-02-01
391,BELL CANYON CALIFORNIA, RAWS,60.5,2014-02-01
392,BRADLEY CALIFORNIA, RAWS,54.2,2014-02-01
393,BEAR PEAK CALIFORNIA, RAWS,39.1,2014-02-01
394,BENTON CALIFORNIA, RAWS,42.6,2014-02-01
395,BEAUMONT CALIFORNIA, RAWS,56.2,2014-02-01
396,BEVERLY HILLS CALIFORNIA, RAWS,63.7,2014-02-01
397,BANGOR CALIFORNIA, RAWS,52.4,2014-02-01
398,BIG HILL CALIFORNIA, RAWS,41.9,2014-02-01
399,BIG PINES CALIFORNIA, RAWS,45.0,2014-02-01
400,BIG ROCK CALIFORNIA, RAWS,52.2,2014-02-01
401,BLACK DIAMOND CALIFORNIA, RAWS,51.6,2014-02-01
402,BLUE DOOR CALIFORNIA, RAWS,35.4,2014-02-01
403,BLUE RIDGE (KNF) CALIFORNIA, RAWS,35.4,2014-02-01
404,BEN BOLT CALIFORNIA, RAWS,52.0,2014-02-01
405,BEN LOMOND CALIFORNIA, RAWS,49.4,2014-02-01
406,BOGARD R.S. CALIFORNIA, RAWS,35.3,2014-02-01
407,BOONVILLE CALIFORNIA, RAWS,50.7,2014-02-01
408,BIG PINE FLAT CALIFORNIA, RAWS,43.2,2014-02-01
409,BRIDGEPORT 4NW CALIFORNIA, RAWS,38.0,2014-02-01
410,BRANCH MOUNTAIN CALIFORNIA, RAWS,49.5,2014-02-01
411,BEAR FLAT CALIFORNIA, RAWS,34.4,2014-02-01
412,BRIONES CALIFORNIA, RAWS,52.2,2014-02-01
413,BROOKS CALIFORNIA, RAWS,54.1,2014-02-01
414,BIG SUR CALIFORNIA, RAWS,55.0,2014-02-01
415,BULL FLAT CALIFORNIA, RAWS,38.8,2014-02-01
416,BURNS CANYON CALIFORNIA, RAWS,50.5,2014-02-01
417,BUTTERCUP CALIFORNIA, RAWS,64.8,2014-02-01
418,BEAVER CAMP LOC CALIFORNIA, RAWS,46.0,2014-02-01
419,BRAZIE RANCH CALIFORNIA, RAWS,43.9,2014-02-01
420,CALLAHAN CALIFORNIA, RAWS,42.9,2014-02-01
421,CAMERON FIRE STATION CALIFORNI, RAWS,50.5,2014-02-01
422,CANBY CALIFORNIA, RAWS,38.6,2014-02-01
423,CARRIZO CALIFORNIA, RAWS,54.2,2014-02-01
424,CATHEYS VALLEY CALIFORNIA, RAWS,53.6,2014-02-01
425,CEDAR GROVE CALIFORNIA, RAWS,42.6,2014-02-01
426,CHEESEBORO CALIFORNIA, RAWS,60.8,2014-02-01
427,CHICO CALIFORNIA, RAWS,52.4,2014-02-01
428,CHILAO CALIFORNIA, RAWS,51.3,2014-02-01
429,CHUCHUPATE CALIFORNIA, RAWS,41.8,2014-02-01
430,CLAREMONT CALIFORNIA, RAWS,57.7,2014-02-01
431,CLEAR CREEK CALIFORNIA, RAWS,55.4,2014-02-01
432,CLARK CALIFORNIA, RAWS,57.8,2014-02-01
433,CALAVERAS ROAD CALIFORNIA, RAWS,52.7,2014-02-01
434,CASE MOUNTAIN CALIFORNIA, RAWS,44.4,2014-02-01
435,COHASSET CALIFORNIA, RAWS,52.1,2014-02-01
436,COLLINS BALDY CALIFORNIA, RAWS,36.5,2014-02-01
437,LYONS VALLEY CALIFORNIA, RAWS,45.6,2014-02-01
438,LYTLE CREEK CALIFORNIA, RAWS,54.9,2014-02-01
439,MAD RIVER CALIFORNIA, RAWS,44.7,2014-02-01
440,MALIBU HILLS CALIFORNIA, RAWS,60.1,2014-02-01
441,MANZANITA LAKE CALIFORNIA, RAWS,35.6,2014-02-01
442,MILL CREEK (BDF) CALIFORNIA, RAWS,58.0,2014-02-01
443,MCGUIRES CALIFORNIA, RAWS,49.3,2014-02-01
444,MEANS LAKE CALIFORNIA, RAWS,56.7,2014-02-01
445,MENDOCINO PASS CALIFORNIA, RAWS,38.0,2014-02-01
446,METCALF GAP CALIFORNIA, RAWS,51.1,2014-02-01
447,MID HILLS CALIFORNIA, RAWS,47.8,2014-02-01
448,MILL CREEK (ANF) CALIFORNIA, RAWS,50.9,2014-02-01
449,MILO CALIFORNIA, RAWS,54.7,2014-02-01
450,MALLORY RIDGE CALIFORNIA, RAWS,51.0,2014-02-01
451,MONTECITO CALIFORNIA, RAWS,59.9,2014-02-01
452,MODOC NWR CALIFORNIA, RAWS,46.0,2014-02-01
453,MORMON ROCK CALIFORNIA, RAWS,55.7,2014-02-01
454,MOUNTAIN REST CALIFORNIA, RAWS,47.7,2014-02-01
455,MARKLEEVILLE CALIFORNIA, RAWS,40.5,2014-02-01
456,MT. SHASTA CALIFORNIA, RAWS,39.8,2014-02-01
457,MARIPOSA CALIFORNIA, RAWS,49.9,2014-02-01
458,MOUNT ZION CALIFORNIA, RAWS,49.9,2014-02-01
459,NORTH FORK CALIFORNIA, RAWS,50.6,2014-02-01
460,OAK KNOLL CALIFORNIA, RAWS,43.9,2014-02-01
461,OAK MOUNTAIN CALIFORNIA, RAWS,46.2,2014-02-01
462,OAK CREEK CALIFORNIA, RAWS,50.3,2014-02-01
463,OAK GROVE CALIFORNIA, RAWS,54.2,2014-02-01
464,OAKLAND NORTH CALIFORNIA, RAWS,51.4,2014-02-01
465,OAK OPENING CALIFORNIA, RAWS,50.4,2014-02-01
466,OAKLAND SOUTH CALIFORNIA, RAWS,51.7,2014-02-01
467,OPAL MOUNTAIN CALIFORNIA, RAWS,55.8,2014-02-01
468,OWENS CAMP LOC CALIFORNIA, RAWS,40.4,2014-02-01
469,OWENS VALLEY CALIFORNIA, RAWS,49.2,2014-02-01
470,OZENA CALIFORNIA, RAWS,50.1,2014-02-01
471,PANAMINT CALIFORNIA, RAWS,44.1,2014-02-01
472,PARKFIELD CALIFORNIA, RAWS,51.4,2014-02-01
473,PATTY MOCUS CALIFORNIA, RAWS,44.5,2014-02-01
474,PINE HILLS CALIFORNIA, RAWS,53.4,2014-02-01
475,PIERCE CALIFORNIA, RAWS,38.1,2014-02-01
476,PINEHURST CALIFORNIA, RAWS,48.2,2014-02-01
477,PIKE COUNTY LOOKOUT CALIFORNIA, RAWS,46.2,2014-02-01
478,PILOT HILL CALIFORNIA, RAWS,50.4,2014-02-01
479,PARK RIDGE CALIFORNIA, RAWS,40.1,2014-02-01
480,PINNACLES CALIFORNIA, RAWS,54.7,2014-02-01
481,POPPY PARK CALIFORNIA, RAWS,55.2,2014-02-01
482,POTRERO CALIFORNIA, RAWS,53.3,2014-02-01
483,POVERTY CALIFORNIA, RAWS,50.9,2014-02-01
484,PANOCHE ROAD CALIFORNIA, RAWS,52.7,2014-02-01
485,PULGAS CALIFORNIA, RAWS,53.8,2014-02-01
486,QUARTZ HILL CALIFORNIA, RAWS,41.3,2014-02-01
487,QUINCY RD CALIFORNIA, RAWS,44.2,2014-02-01
488,RAVENDALE CALIFORNIA, RAWS,37.1,2014-02-01
489,RANCHITA CALIFORNIA, RAWS,53.5,2014-02-01
490,READER RANCH CALIFORNIA, RAWS,49.8,2014-02-01
491,REDDING AIRPORT CALIFORNIA, RAWS,50.7,2014-02-01
492,RICE VALLEY CALIFORNIA, RAWS,61.6,2014-02-01
493,ROCK CREEK, RAWS,38.1,2014-02-01
494,RODEO VALLEY, RAWS,46.1,2014-02-01
495,ROSE VALLEY CALIFORNIA, RAWS,47.4,2014-02-01
496,ROUND MOUNTAIN, RAWS,36.9,2014-02-01
497,ROSE PEAK CALIFORNIA, RAWS,47.9,2014-02-01
498,RUSH CREEK CALIFORNIA, RAWS,37.0,2014-02-01
499,RUTH CALIFORNIA, RAWS,44.8,2014-02-01
500,SACRAMENTO NWR CALIFORNIA, RAWS,53.4,2014-02-01
501,SADDLEBACK BUTTE CALIFORNIA, RAWS,53.6,2014-02-01
502,SAUGUS CALIFORNIA, RAWS,59.1,2014-02-01
503,SAWYERS BAR CALIFORNIA, RAWS,43.8,2014-02-01
504,SANTA BARBARA ISLAND CALIFORNI, RAWS,58.2,2014-02-01
505,SANTA CRUZ ISLAND CALIFORNIA, RAWS,57.8,2014-02-01
506,SCORPION CALIFORNIA, RAWS,42.8,2014-02-01
507,SODA CREEK CALIFORNIA, RAWS,46.1,2014-02-01
508,SADDLEBACK CALIFORNIA, RAWS,36.6,2014-02-01
509,SECRET TOWN CALIFORNIA, RAWS,47.5,2014-02-01
510,SANTA FE DAM CALIFORNIA, RAWS,62.4,2014-02-01
511,SHAVER CALIFORNIA, RAWS,39.2,2014-02-01
512,SANTA ROSA ISLAND CALIFORNIA, RAWS,54.4,2014-02-01
513,SANTA ROSA PLATEAU CALIFORNIA, RAWS,58.0,2014-02-01
514,SANTA ROSA CALIFORNIA, RAWS,52.7,2014-02-01
515,STAMPEDE CALIFORNIA, RAWS,36.9,2014-02-01
516,STONYFORD CALIFORNIA, RAWS,49.9,2014-02-01
517,SUGARLOAF (SHF) CALIFORNIA, RAWS,44.3,2014-02-01
518,SPRING VALLEY CALIFORNIA, RAWS,51.2,2014-02-01
519,TANBARK CALIFORNIA, RAWS,56.3,2014-02-01
520,TEMESCAL (LPF) CALIFORNIA, RAWS,58.0,2014-02-01
521,THOMES CREEK CALIFORNIA, RAWS,52.4,2014-02-01
522,TIMBER MOUNTAIN CALIFORNIA, RAWS,37.8,2014-02-01
523,MOUNT TOM CALIFORNIA, RAWS,33.6,2014-02-01
524,LAS TRAMPAS CALIFORNIA, RAWS,51.3,2014-02-01
525,TRINITY CAMP CALIFORNIA, RAWS,41.8,2014-02-01
526,TRIMMER CALIFORNIA, RAWS,53.2,2014-02-01
527,UHL / HOT SPRINGS, RAWS,48.3,2014-02-01
528,UNDERWOOD CALIFORNIA, RAWS,45.2,2014-02-01
529,VALLEY CENTER CALIFORNIA, RAWS,58.6,2014-02-01
530,VAN BREMMER CALIFORNIA, RAWS,38.6,2014-02-01
531,VALYERMO CALIFORNIA, RAWS,51.7,2014-02-01
532,VANDENBERG CALIFORNIA, RAWS,56.0,2014-02-01
533,WALKER CALIFORNIA, RAWS,44.4,2014-02-01
534,WALKER PASS CALIFORNIA, RAWS,48.2,2014-02-01
535,WARM SPRINGS CALIFORNIA, RAWS,53.9,2014-02-01
536,WEED AIRPORT CALIFORNIA, RAWS,43.1,2014-02-01
537,WESTWOOD CALIFORNIA, RAWS,36.8,2014-02-01
538,WHITE CLOUD CALIFORNIA, RAWS,44.9,2014-02-01
539,WHITTIER HILLS CALIFORNIA, RAWS,61.7,2014-02-01
